Year,date,week,headcount,paid count,,cash taken,class time,venue,event,social
2019,26/03/19,24,53,43,,167.7,6.30pm,Sugden,,
2019,28/03/19,,49,45,,175.5,5.30pm,Sugden,,
2019,02/04/19,25,59,57,,222.3,6.30pm,Sugden,,
2019,04/04/19,,63,1,,3.9,5.30pm,Sugden,Grading,
2019,23/04/19,26,12,16,,62.4,6.30pm,Sugden,First Class,
2019,25/04/19,,10,0,,0,5.30pm,Sugden,,
2019,30/04/19,27,45,37,,144.3,6.30pm,Sugden,,
2019,02/05/19,,39,34,,132.6,5.30pm,Sugden,,
2019,07/05/19,28,26,21,,81.9,6.30pm,Sugden,,
2019,09/05/19,,36,36,,140.4,5.30pm,Sugden,,
2019,14/05/19,29,23,23,,89.7,6.30pm,Sugden,,
2019,16/05/19,,15,15,,58.5,5.30pm,Sugden,,
2019,21/05/19,30,24,24,,93.6,6.30pm,Sugden,,
2019,23/05/19,,12,12,,46.8,5.30pm,Sugden,,
2019,28/05/19,31,24,24,,93.6,6.30pm,Sugden,Grading,
2019,30/05/19,,16,16,,62.4,5.30pm,Sugden,Grading,
