AcademicYear,Date,Week,HeadCount,PaidCount,CashTaken,ClassTime,Venue,Event,Social
2018,07/02/19,17,71,31,120.9,5.30pm,Sugden,,
2018,12/02/19,18,50,39,152.1,6.30pm,Sugden,,
2018,14/02/19,18,44,30,117,5.30pm,Sugden,,
2018,19/02/19,19,56,46,179.4,6.30pm,Sugden,,
2018,21/02/19,19,60,43,167.7,5.30pm,Sugden,,
2018,26/02/19,20,51,40,156,6.30pm,Sugden,,
2018,28/02/19,20,53,39,152.1,5.30pm,Sugden,,
2018,05/03/19,21,52,38,148.2,6.30pm,Sugden,,
2018,07/03/19,21,49,29,113.1,5.30pm,Sugden,,
2018,12/03/19,22,60,51,198.9,6.30pm,Sugden,,
2018,14/03/19,22,53,41,159.9,5.30pm,Sugden,,
2018,19/03/19,23,49,34,132.6,6.30pm,Sugden,,
2018,21/03/19,23,41,35,136.5,5.30pm,Sugden,,
2018,26/03/19,24,53,43,167.7,6.30pm,Sugden,,
2018,28/03/19,24,49,45,175.5,5.30pm,Sugden,,
2018,02/04/19,25,59,57,222.3,6.30pm,Sugden,,
2018,04/04/19,25,63,1,3.9,5.30pm,Sugden,Grading,
2018,23/04/19,26,12,16,62.4,6.30pm,Sugden,First Class,
2018,25/04/19,26,10,0,0,5.30pm,Sugden,,
